title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes
PSY - 'That That (prod. & feat. SUGA of BTS)' MV,2022-04-29T09:00:10Z,UCrDkAvwZum-UTjHmzDI2iIw,officialpsy,10,2022-05-03T00:00:00Z,PSY|싸이|psy|Psy|박재상|Comeback|coming back|9th|PSY 9th|Psy 9th|P NATION|p nation|피네이션|정규9집|컴백|싸다9|싸다구|PSY9th|구집|9wlq|9집|콘서트|싸이 콘서트|싸이콘서트|That That|that that|that|SUGA|BTS|produced|featuring|MV|music video|Music Video,62189597,5695413,0
Turn into orbeez - Tutorial #Shorts,2021-07-03T04:04:57Z,UCt8z2S30Wl-GQEluFVM8NUw,Fortnite Fun TV,24,2021-07-09T00:00:00Z,[None],62182949,2413628,78838
Let's just have fun with your loved ones!😎 #PermissiontoDance Challenge only on YouTube #Shorts,2021-07-30T13:00:02Z,UCLkAepWjdylmXSltofFvsYQ,BANGTANTV,10,2021-08-04T00:00:00Z,[None],62125441,4992429,111113
Adipurush (Official Trailer) Hindi | Prabhas | Saif Ali Khan | Kriti Sanon | Om Raut | Bhushan Kumar,2023-05-09T08:36:06Z,UCq-Fj5jknLsUf-MWSy4_brA,T-Series,1,2023-05-14T00:00:00Z,hindi songs new|bollywood songs 2023|tseries|tseries songs|bollywood romantic songs|romantic hindi songs|hindi songs bollywood|remix hindi songs|hindi song status|bollywood dance songs|Adipurush Teaser|Adipurush Teaser Event|Teaser Event|Aadipurush|Adipurush|Prabhas|Kriti Sanon|Saif Ali Khan|Prabhas as Adipurush|Adipurush Hindi|Hindi Adipurush|Hindi official trailer|Official trailer|Adipurush (Official Trailer) Hindi|Movies 2023,61988443,1433430,0
THIS NEARLY GAVE HIM A HEART ATTACK! 🤣😱,2021-03-26T15:40:02Z,UCDgNRuWdouD-dXgrM3fF41Q,Woody & Kleiny Extra,22,2021-04-02T00:00:00Z,shorts|viral|comedy|best friends|best of woody and kleiny|woody and kleiny highlights|prank|prank war|shock|family game|mannequin challenge|mannequin prank|scare prank,61914411,3230402,59133
BTS (방탄소년단) 'Dynamite' Official Teaser,2020-08-18T15:00:02Z,UC3IZKseVpdzPSBaWxBxundA,Big Hit Labels,10,2020-08-24T00:00:00Z,BIGHIT|빅히트|방탄소년단|BTS|BANGTAN|방탄,61902106,6164806,157429
Jawan |Official Hindi Prevue |Shah Rukh Khan |Atlee |Nayanthara |Vijay Sethupathi |Deepika |Anirudh,2023-07-10T04:58:09Z,UCjJKg01HAP01xCLVhDmnLhw,Red Chillies Entertainment,24,2023-07-14T00:00:00Z,SRK|Shah rukh khan|shahruh khan|Srk movies|red chillies entertainment|Jawan trailer|Jawan teaser|Jawan preview|Jawan Prevue|#JawanTrailer #JawanTeaser #JawanPreview #JawanPrevue|Deepika Padukone|nayanthara|Atlee|SRK new film,61813823,1774186,0
OMG Unlucky for both of us! 😂 #shorts Best video by MoniLina,2021-10-27T05:00:15Z,UCFwOAy34fL31Im7_udynwvg,MoniLina,23,2021-11-01T00:00:00Z,[None],61640300,1931019,106947
Rihanna’s FULL Apple Music Super Bowl LVII Halftime Show,2023-02-13T03:58:18Z,UCDVYQ4Zhbm3S2dlz7P1GBDg,NFL,17,2023-02-18T00:00:00Z,NFL|Football|American Football|sport|sports,61608036,1979505,0
BABYMONSTER - ‘SHEESH’ M/V,2024-03-31T15:00:08Z,UCqwUnggBBct-AY2lAdI88jQ,BABYMONSTER,22,2024-04-05T00:00:00Z,BABYMONSTER|베이비몬스터|베몬|BABYMON|BAEMON|하람|아현|루카|치키타|파리타|로라|아사|HARAM|AHYEON|RUKA|CHIQUITA|PHARITA|RORA|ASA,61501954,1898235,0
I Paid A Real Assassin To Try To Kill Me,2023-03-18T20:00:01Z,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast,24,2023-03-23T00:00:00Z,[None],61410566,3137839,0
7 Days Stranded At Sea,2023-08-05T16:00:01Z,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast,24,2023-08-07T00:00:00Z,[None],61367097,3603374,0
